City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Toyota,JP,86.0,broken clouds,35.08,137.15,Meitetsu Toyota Hotel
13,Uniara,IN,87.31,broken clouds,26.15,75.22,Sharma Restaurant(vikash Sharma)
18,Salalah,OM,78.8,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
20,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
25,Sehwan,PK,82.4,clear sky,26.43,67.86,Lal Shahbaz Motel STDC
30,Kalispell,US,75.2,clear sky,48.2,-114.31,Red Lion Hotel Kalispell
32,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
35,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
36,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
42,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
50,Syracuse,IT,77.0,broken clouds,37.09,15.28,Hotel Posta
56,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
60,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
62,Victoria,HK,88.0,broken clouds,22.29,114.16,Mini Hotel Central
75,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
77,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
79,Nicoya,CR,75.11,overcast clouds,10.15,-85.45,Guayacan Real
80,Cairns,AU,82.4,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
82,Tucuma,BR,77.47,few clouds,-0.18,-50.05,
101,Victoria,HK,88.0,broken clouds,22.29,114.16,Mini Hotel Central
106,Winneba,GH,75.2,few clouds,5.35,-0.62,Lagoon Lodge
111,Shiraoi,JP,81.0,broken clouds,42.55,141.35,ピリカレラホテル
113,Srandakan,ID,83.93,overcast clouds,-7.94,110.25,Puri Brata
116,Indramayu,ID,87.58,broken clouds,-6.33,108.32,Grand Trisula Hotel
119,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
121,Auki,SB,84.0,moderate rain,-8.77,160.7,Auki Motel
122,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
127,Victoria,HK,88.0,broken clouds,22.29,114.16,Mini Hotel Central
135,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
136,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
137,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
139,Sironj,IN,83.86,clear sky,24.1,77.7,shri shyam palace sironj
142,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
146,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
158,Longhua,CN,85.68,moderate rain,23.61,114.19,Huadu Hotel
166,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
169,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
178,Saint-Georges,GD,80.6,scattered clouds,12.06,-61.75,Siesta Hotel
182,Kavieng,PG,85.41,clear sky,-2.57,150.8,Nusa Island Retreat
183,Selcuk,TR,75.2,clear sky,37.95,27.37,Archeologica House Ephesus
187,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
192,Sungaipenuh,ID,80.85,scattered clouds,-2.08,101.38,Hotel Jaya Wisata 2
198,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
203,Vaitape,PF,78.4,light rain,-16.52,-151.75,Conrad Bora Bora Nui
205,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
206,Cananea,MX,77.0,clear sky,30.95,-110.3,Casas Montoya
208,Iquitos,PE,75.29,scattered clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
212,Dayong,CN,86.0,few clouds,25.02,118.29,Haiyue Express Hotel
215,Griffith,US,75.99,overcast clouds,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
216,Sur,OM,88.27,clear sky,22.57,59.53,Sur Plaza Hotel
218,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
221,Kavieng,PG,85.41,clear sky,-2.57,150.8,Nusa Island Retreat
224,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
228,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
233,Namuac,PH,84.79,light rain,18.61,121.17,Mariner's Hub
235,Isangel,VU,75.24,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
237,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
238,Biak,ID,81.43,moderate rain,-0.91,122.88,Kost Ariz
