City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Katsuura,35.13,140.3,91.99,66,75,20.8,JP,broken clouds
1,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
2,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
3,Leningradskiy,69.38,178.42,45.36,62,0,11.48,RU,clear sky
4,Asau,46.43,26.4,55.0,96,0,2.24,RO,clear sky
5,Hermanus,-34.42,19.23,52.23,84,4,7.61,ZA,clear sky
6,Zadar,44.12,15.24,59.0,93,0,2.24,HR,clear sky
7,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
8,Castro,-24.79,-50.01,57.52,85,0,4.09,BR,clear sky
9,Villazon,-22.09,-65.59,38.32,93,25,3.89,BO,scattered clouds
10,Toyota,35.08,137.15,86.0,79,75,27.51,JP,broken clouds
11,Albany,42.6,-73.97,60.01,71,7,3.11,US,clear sky
12,Qaanaaq,77.48,-69.36,20.59,81,0,5.37,GL,clear sky
13,Uniara,26.15,75.22,87.31,62,56,10.4,IN,broken clouds
14,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
15,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
16,Bluff,-46.6,168.33,52.68,76,17,12.44,NZ,few clouds
17,Avarua,-21.21,-159.78,68.0,82,39,8.05,CK,light rain
18,Salalah,17.02,54.09,78.8,94,40,6.93,OM,scattered clouds
19,Kaputa,-8.47,29.66,65.44,46,54,6.46,ZM,broken clouds
20,Georgetown,5.41,100.34,87.8,70,20,4.7,MY,few clouds
21,Lompoc,34.64,-120.46,73.99,64,1,3.36,US,clear sky
22,Talnakh,69.49,88.4,51.8,87,75,4.47,RU,broken clouds
23,Nikolskoye,59.7,30.79,54.0,81,50,2.24,RU,scattered clouds
24,Thompson,55.74,-97.86,41.0,60,75,8.05,CA,broken clouds
25,Sehwan,26.43,67.86,82.4,69,0,6.93,PK,clear sky
26,Rundu,-17.93,19.77,55.45,40,0,7.18,NA,clear sky
27,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
28,Yellowknife,62.46,-114.35,44.01,80,40,5.82,CA,scattered clouds
29,Ust-Kuyga,70.02,135.6,44.64,82,100,6.51,RU,overcast clouds
30,Kalispell,48.2,-114.31,75.2,25,1,3.36,US,clear sky
31,Upernavik,72.79,-56.15,34.32,87,99,8.46,GL,overcast clouds
32,Butaritari,3.07,172.79,83.32,75,99,14.99,KI,overcast clouds
33,Bluff,-46.6,168.33,52.68,76,17,12.44,NZ,few clouds
34,Souillac,-20.52,57.52,70.0,93,100,5.99,MU,moderate rain
35,Georgetown,5.41,100.34,87.8,70,20,4.7,MY,few clouds
36,Atuona,-9.8,-139.03,78.66,77,19,18.61,PF,light rain
37,Kruisfontein,-34.0,24.73,49.78,94,0,2.59,ZA,clear sky
38,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
39,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
40,Upernavik,72.79,-56.15,34.32,87,99,8.46,GL,overcast clouds
41,Castro,-24.79,-50.01,57.52,85,0,4.09,BR,clear sky
42,Vaini,-21.2,-175.2,75.2,64,75,12.75,TO,broken clouds
43,Oranjemund,-28.55,16.43,54.77,83,0,6.58,NA,clear sky
44,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
45,Sakaraha,-22.9,44.53,59.67,63,0,1.95,MG,clear sky
46,Pevek,69.7,170.31,45.68,69,27,14.58,RU,scattered clouds
47,Severo-Kurilsk,50.68,156.12,58.26,85,89,6.69,RU,overcast clouds
48,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
49,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
50,Syracuse,37.09,15.28,77.0,88,75,4.7,IT,broken clouds
51,Kamenka,51.32,42.77,52.0,59,64,7.05,RU,broken clouds
52,Barrow,71.29,-156.79,37.4,93,75,5.82,US,fog
53,Syktyvkar,61.68,50.81,51.8,87,90,4.47,RU,overcast clouds
54,Khatanga,71.97,102.5,52.9,55,0,4.72,RU,clear sky
55,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
56,Butaritari,3.07,172.79,83.32,75,99,14.99,KI,overcast clouds
57,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
58,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
59,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
60,Atuona,-9.8,-139.03,78.66,77,19,18.61,PF,light rain
61,Hermanus,-34.42,19.23,52.23,84,4,7.61,ZA,clear sky
62,Victoria,22.29,114.16,88.0,74,67,8.01,HK,broken clouds
63,Tiksi,71.69,128.87,46.24,78,90,4.74,RU,overcast clouds
64,Albany,42.6,-73.97,60.01,71,7,3.11,US,clear sky
65,Kearney,40.7,-99.08,68.0,64,1,5.82,US,clear sky
66,Bredasdorp,-34.53,20.04,44.6,93,0,2.24,ZA,clear sky
