City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2020-09-06 02:18:24,-46.28,169.85,55.99,40,58,15.99
1,Vaini,TO,2020-09-06 02:18:36,-21.2,-175.2,75.2,60,75,12.75
2,Rikitea,PF,2020-09-06 02:20:23,-23.12,-134.97,72.28,81,5,13.58
3,Fortuna,US,2020-09-06 02:20:23,40.6,-124.16,66.0,77,1,10.29
4,Hermanus,ZA,2020-09-06 02:20:23,-34.42,19.23,50.0,96,98,1.01
5,Leningradskiy,RU,2020-09-06 02:20:24,69.38,178.42,41.83,70,36,10.94
6,Karasjok,NO,2020-09-06 02:20:24,69.47,25.51,50.0,93,35,17.22
7,Bonfim,BR,2020-09-06 02:20:24,3.08,-59.95,79.93,69,100,5.57
8,Kununurra,AU,2020-09-06 02:20:24,-15.77,128.73,87.8,26,100,8.05
9,Liverpool,GB,2020-09-06 02:15:44,53.41,-2.98,55.99,93,75,6.93
10,Ushuaia,AR,2020-09-06 02:20:25,-54.8,-68.3,39.2,87,20,13.87
11,Neiafu,TO,2020-09-06 02:20:26,-18.65,-173.98,77.0,57,40,11.41
12,Yanam,IN,2020-09-06 02:20:26,16.73,82.22,82.4,88,20,1.5
13,Saint-Philippe,RE,2020-09-06 02:20:26,-21.36,55.77,63.0,88,62,6.93
14,Troitskoye,RU,2020-09-06 02:20:26,52.98,84.68,46.76,66,100,3.51
15,Homer,US,2020-09-06 02:20:27,59.64,-151.55,57.2,62,1,5.82
16,Cherskiy,RU,2020-09-06 02:20:27,68.75,161.3,52.95,43,0,16.62
17,Teguldet,RU,2020-09-06 02:20:27,57.31,88.17,45.48,93,100,9.24
18,Tabou,CI,2020-09-06 02:20:28,4.42,-7.35,75.6,87,100,10.13
19,Castro,BR,2020-09-06 02:19:04,-24.79,-50.01,62.37,65,1,3.0
20,Bluff,NZ,2020-09-06 02:20:06,-46.6,168.33,50.79,66,99,19.26
21,Mataura,NZ,2020-09-06 02:20:28,-46.19,168.86,50.5,67,58,9.57
22,Caravelas,BR,2020-09-06 02:20:28,-17.71,-39.25,71.1,89,1,5.79
23,Khash,IR,2020-09-06 02:20:29,28.22,61.22,62.74,27,0,2.55
24,Severo-Kurilsk,RU,2020-09-06 02:20:29,50.68,156.12,54.16,78,100,5.35
25,Kapaa,US,2020-09-06 02:20:29,22.08,-159.32,84.2,62,1,16.11
26,Constitucion,CL,2020-09-06 02:20:30,-35.33,-72.42,49.35,85,0,6.91
27,Malanje,AO,2020-09-06 02:20:30,-9.54,16.34,66.0,90,26,5.61
28,Butaritari,KI,2020-09-06 02:20:31,3.07,172.79,83.1,78,92,16.06
29,Qaanaaq,GL,2020-09-06 02:20:31,77.48,-69.36,23.88,80,89,4.88
30,Klaksvik,FO,2020-09-06 02:20:32,62.23,-6.59,44.6,70,95,14.99
31,Atuona,PF,2020-09-06 02:20:32,-9.8,-139.03,78.85,68,5,23.13
32,Hobart,AU,2020-09-06 02:20:10,-42.88,147.33,60.01,47,75,14.99
33,Thompson,CA,2020-09-06 02:20:33,55.74,-97.86,53.6,66,75,4.7
34,Saint-Louis,SN,2020-09-06 02:20:34,16.33,-15.0,78.19,86,98,5.86
35,Aklavik,CA,2020-09-06 02:20:34,68.22,-135.01,41.0,65,75,6.93
36,Gravdal,NO,2020-09-06 02:20:35,68.12,13.5,52.02,90,100,11.5
37,Avarua,CK,2020-09-06 02:20:35,-21.21,-159.78,75.2,57,78,9.17
38,Puro,PH,2020-09-06 02:20:35,12.48,123.38,86.4,74,100,11.54
39,Goderich,CA,2020-09-06 02:20:35,43.75,-81.72,70.0,64,0,7.49
40,Hambantota,LK,2020-09-06 02:20:36,6.12,81.12,77.0,100,40,3.36
41,Porterville,US,2020-09-06 02:20:36,36.07,-119.02,102.2,29,1,8.05
42,Voyvozh,RU,2020-09-06 02:20:36,62.89,54.96,51.22,92,100,3.98
43,Khartoum,SD,2020-09-06 02:20:37,15.55,32.53,84.2,51,0,8.05
44,Hithadhoo,MV,2020-09-06 02:20:37,-0.6,73.08,80.67,73,100,25.84
45,Lewiston,US,2020-09-06 02:20:14,44.1,-70.21,57.0,100,1,3.36
46,Torbay,CA,2020-09-06 02:20:37,47.67,-52.73,64.0,93,40,18.34
47,Brakel,DE,2020-09-06 02:20:38,51.72,9.18,50.0,88,0,1.01
48,Barrow,US,2020-09-06 02:18:00,71.29,-156.79,39.2,86,90,5.82
49,Upernavik,GL,2020-09-06 02:20:38,72.79,-56.15,32.59,84,31,9.62
50,Albany,US,2020-09-06 02:18:57,42.6,-73.97,64.0,56,95,2.89
51,Ostersund,SE,2020-09-06 02:20:38,63.18,14.64,44.6,93,93,5.82
52,Hollins,US,2020-09-06 02:20:39,37.34,-79.94,66.2,72,1,0.63
53,Georgetown,MY,2020-09-06 02:20:27,5.41,100.34,82.4,78,20,3.36
54,Dikson,RU,2020-09-06 02:20:39,73.51,80.55,41.56,88,49,17.72
55,Souillac,MU,2020-09-06 02:20:39,-20.52,57.52,64.4,93,20,8.05
56,Wanaka,NZ,2020-09-06 02:20:40,-44.7,169.15,53.37,60,69,6.06
57,Lagoa,PT,2020-09-06 02:20:40,39.05,-27.98,67.68,75,47,21.0
58,Ambon,ID,2020-09-06 02:20:40,-3.7,128.18,78.8,88,75,10.29
59,Coahuayana,MX,2020-09-06 02:20:41,18.73,-103.68,78.57,82,99,1.83
60,Narsaq,GL,2020-09-06 02:19:45,60.92,-46.05,46.4,87,82,4.7
61,Hasaki,JP,2020-09-06 02:20:41,35.73,140.83,84.2,94,75,6.93
62,Bredasdorp,ZA,2020-09-06 02:18:37,-34.53,20.04,53.6,93,51,2.24
63,Bilibino,RU,2020-09-06 02:20:42,68.05,166.44,47.08,51,0,6.33
64,Lavrentiya,RU,2020-09-06 02:20:42,65.58,-171.0,43.52,73,94,2.17
65,Vostok,RU,2020-09-06 02:16:49,46.49,135.88,72.66,56,100,1.59
66,Coihaique,CL,2020-09-06 02:20:43,-45.58,-72.07,44.6,75,90,6.93
67,Sorland,NO,2020-09-06 02:20:43,67.67,12.69,52.74,85,100,12.95
68,Dingle,PH,2020-09-06 02:20:43,11.0,122.67,86.34,71,91,4.72
69,Pyaozerskiy,RU,2020-09-06 02:20:43,65.83,31.17,52.2,94,100,7.02
